TIMESTAMP,RECORD,Rain_mm_Tot,PanLevel,AirTC_Avg,RH,T107_C_Avg Water ,PTemp_C,AirTC_Max,AirTC_TMx,RH_Max,RH_TMx,T107_C_Max,T107_C_TMx,WS_ms_Max,WS_ms_TMx,AirTC_Min,AirTC_TMn,RH_Min,RH_TMn,T107_C_Min,T107_C_TMn,WS_ms_Min,WS_ms_TMn,SlrkW_2_Avg,SlrMJ_2_Tot,PAR_Den_Avg,PAR_Tot_Tot,BP_mmHg,AirTC_Std,T107_C_Std,SlrkW_2_Std,PAR_Den_Std,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Std,WindDir_Hst(1),WindDir_Hst(2),WindDir_Hst(3),WindDir_Hst(4),WindDir_Hst(5),WindDir_Hst(6),WindDir_Hst(7),WindDir_Hst(8),BattV,
TS,RN,mm,inches,Deg C,%,Deg C,Deg C,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,kW/m^2,MJ/m^2,umol/s/m^2,mmol/m^2,mmHg,Deg C,Deg C,kW/m^2,umol/s/m^2,meters/second,Deg,Deg,meters/second,degrees,degrees,degrees,degrees,degrees,degrees,degrees,degrees,Volts,
,,Tot,Smp,Avg,Smp,Avg,Smp,Max,TMx,Max,TMx,Max,TMx,Max,TMx,Min,TMn,Min,TMn,Min,TMn,Min,TMn,Avg,Tot,Avg,Tot,Smp,Std,Std,Std,Std,WVc,WVc,WVc,Std,"Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02",Smp,COMENTARIO
2/1/2016 0:00,754,6.8,1.724,22.33,100,25.72,20.15,27.56,2/1/2016 13:29,100,2/1/2016 0:00,28.67,2/1/2016 12:15,2.117,2/1/2016 10:19,19.5,2/1/2016 0:18,68.05,2/1/2016 13:20,24.01,2/1/2016 23:59,0,2/1/2016 0:00,62.43,0.5358275,215.3,18594.93,764.2,2.252,1.212,123.1,416.8,0.168,160.4,32.72,0.295,0.01,0.01,0.022,0.068,0.031,0.01,0.01,0.007,12.11,
2/2/2016 0:00,755,0,1.724,22.56,100,25.32,19.92,29.66,2/2/2016 12:00,100,2/2/2016 0:00,29.86,2/2/2016 14:09,2.197,2/2/2016 8:57,18.63,2/2/2016 6:26,60.86,2/2/2016 12:01,22.45,2/2/2016 7:16,0,2/2/2016 0:00,87,0.7464232,173.8,15012.27,764.2,3.708,2.362,152.1,387.8,0.261,150,33.2,0.305,0.008,0.008,0.072,0.11,0.037,0.013,0.011,0.003,12.12,
2/3/2016 0:00,756,0.3,1.729,22.56,97.3,25.05,21.64,28.4,2/3/2016 14:44,100,2/3/2016 0:00,28.73,2/3/2016 14:56,2.597,2/3/2016 14:58,19.09,2/3/2016 3:27,68.71,2/3/2016 11:11,22.79,2/3/2016 7:19,0,2/3/2016 0:00,56.19,0.4822873,183.1,15818.47,763.2,2.792,1.798,110.5,355.6,0.285,175.9,47.44,0.343,0.01,0.006,0.026,0.111,0.049,0.03,0.038,0.015,12.13,
2/4/2016 0:00,757,1.3,1.726,22.13,100,24.59,19.52,27.66,2/4/2016 12:15,100,2/4/2016 1:32,28.01,2/4/2016 12:15,2.597,2/4/2016 9:47,18.47,2/4/2016 6:36,58.95,2/4/2016 14:15,22.4,2/4/2016 6:50,0,2/4/2016 0:00,71.97,0.6177299,189,16326.53,761.7,2.899,1.633,132.3,371,0.275,169.8,53.48,0.283,0.014,0.011,0.044,0.09,0.044,0.023,0.034,0.015,12.11,
2/5/2016 0:00,758,5.2,1.725,21.46,100,24.4,19.65,28.66,2/5/2016 11:30,100,2/5/2016 0:00,28.71,2/5/2016 11:30,1.079,2/5/2016 11:38,18.4,2/5/2016 7:23,64.99,2/5/2016 11:05,21.88,2/5/2016 7:29,0,2/5/2016 10:09,51.06,0.4382634,159.3,13760.79,764,2.481,1.792,101.1,314.8,0.247,145.4,31,0.222,0.007,0.007,0.054,0.142,0.022,0.003,0.006,0.006,12.11,
2/6/2016 0:00,759,0,1.731,22.26,97.9,24.55,21.95,28.15,2/6/2016 14:55,100,2/6/2016 0:00,28.35,2/6/2016 14:48,3.476,2/6/2016 10:18,17.91,2/6/2016 7:07,67.97,2/6/2016 14:56,21.61,2/6/2016 7:29,0,2/6/2016 0:00,66.48,0.5705853,215.9,18649.88,765.3,3.336,2.112,120.1,386.4,0.276,140.6,49.47,0.362,0.034,0.025,0.053,0.085,0.031,0.012,0.021,0.015,12.13,
2/7/2016 0:00,760,34.9,1.731,23.11,100,24.91,21.07,26.87,2/7/2016 15:16,100,2/7/2016 0:58,27.34,2/7/2016 14:29,3.715,2/7/2016 14:56,21.04,2/7/2016 23:24,79.4,2/7/2016 15:15,22.52,2/7/2016 5:17,0,2/7/2016 0:00,44.62,0.3830233,155.3,13415.12,764.7,1.696,1.192,83.4,287.7,0.319,162.2,62.66,0.385,0.029,0.027,0.051,0.078,0.047,0.017,0.042,0.028,12.12,
2/8/2016 0:00,761,0.1,1.732,23.8,100,25.4,21.89,29.91,2/8/2016 11:43,100,2/8/2016 0:00,29.79,2/8/2016 11:58,4.115,2/8/2016 15:46,20.25,2/8/2016 6:30,64.59,2/8/2016 13:37,22.67,2/8/2016 6:36,0,2/8/2016 0:01,90.6,0.7778428,248.6,21471.64,764.6,3.304,2.265,153,471.8,0.475,152.8,65.09,0.527,0.082,0.046,0.067,0.112,0.064,0.026,0.043,0.034,12.11,
2/9/2016 0:00,762,0,1.733,24.43,100,26.07,22.7,30.07,2/9/2016 11:33,100,2/9/2016 0:00,30.03,2/9/2016 12:24,3.396,2/9/2016 7:20,20.7,2/9/2016 5:19,69.4,2/9/2016 11:30,23.56,2/9/2016 5:53,0,2/9/2016 0:00,70.18,0.6023735,170,14685.91,765.7,2.665,1.999,132.7,352.3,0.359,148.8,57.84,0.357,0.028,0.031,0.071,0.117,0.042,0.021,0.031,0.018,12.12,
2/10/2016 0:00,763,6.2,1.731,23.84,100,25.91,20.5,28.96,2/10/2016 12:42,100,2/10/2016 0:00,29.39,2/10/2016 13:51,2.197,2/10/2016 12:59,20.32,2/10/2016 23:57,73.38,2/10/2016 14:32,24.09,2/10/2016 23:59,0,2/10/2016 0:00,65.1,0.558768,181.5,15679.56,766.3,2.3,1.499,130.9,381,0.256,150.3,43.67,0.351,0.018,0.022,0.054,0.079,0.041,0.016,0.016,0.011,12.11,
2/11/2016 0:00,764,0.1,1.73,22.84,100,25.38,20.61,29.69,2/11/2016 13:09,100,2/11/2016 0:00,29.97,2/11/2016 14:15,2.757,2/11/2016 13:09,18.81,2/11/2016 7:08,58.09,2/11/2016 13:23,22.55,2/11/2016 6:50,0,2/11/2016 0:00,88.2,0.7573544,261.2,22565.17,766.2,3.463,2.211,158.4,491.2,0.265,165.1,39.96,0.416,0.019,0.015,0.037,0.086,0.052,0.022,0.026,0.008,12.12,
2/12/2016 0:00,765,4.1,1.734,23.52,100,25.67,21.56,28.81,2/12/2016 12:47,100,2/12/2016 0:00,28.83,2/12/2016 13:56,4.195,2/12/2016 15:56,20.3,2/12/2016 1:03,60.49,2/12/2016 13:29,23.66,2/12/2016 6:51,0,2/12/2016 0:00,72.9,0.6257109,237.7,20528.78,764.9,2.584,1.645,136,437.2,0.318,178.4,48.5,0.47,0.022,0.01,0.034,0.093,0.066,0.028,0.043,0.021,12.12,
2/13/2016 0:00,766,0.5,1.73,22.8,100,25.42,20.08,28.87,2/13/2016 12:44,100,2/13/2016 0:00,29.32,2/13/2016 14:31,2.996,2/13/2016 9:41,19.66,2/13/2016 7:18,55.48,2/13/2016 14:52,23.09,2/13/2016 7:15,0,2/13/2016 0:00,78.15,0.6708209,230.7,19927.34,764.2,3.044,1.922,130.8,401.8,0.265,152,40.53,0.404,0.021,0.024,0.042,0.091,0.038,0.02,0.017,0.011,12.11,
