Timestamp,year,TOT_PREP(mm),Total Inrrad,Tatal PFD,Total Global Rad,Global Ref,Std Global Rad,Std Ref Rad,Max Wind_S,Time,AirTC_Max,Time,RH_Max,Time,min Wind_s,Time,AirTC_Min,Time,RH_Min,Tmin RH,MWind Seep,MWind deg.,Std m deg,Std Wind_S,0-45,45-90,90-135,135-180,180-225,225-270,270-315,315-360,Volt,Comentarios,
3/2/2016,2016,2.7,3822.7,9511.9,893,60.65,310.3,19.3,5.235,929,26.99,1405,91.7,942,0,8,20.51,937,54.57,1347,0.952,118.6,47.35,0.81,0.082,0.097,0.31,0.194,0.045,0.028,0.076,0.122,12.34,,
3/3/2016,2016,6.4,2652.4,6624.9,606,42.15,169.8,10.78,4.596,2357,25.14,1151,91.6,1957,0,0,20.69,521,64.18,1154,0.743,127.3,51.01,0.714,0.07,0.081,0.208,0.199,0.053,0.022,0.042,0.069,12.34,,
3/4/2016,2016,3.4,2209.2,5534,506.7,40.83,174.4,11.42,5.075,1120,25.48,1212,93.9,2311,0,2,20.17,532,67.17,1024,0.745,92.7,57.52,0.804,0.091,0.119,0.151,0.091,0.063,0.055,0.079,0.094,12.35,,
3/5/2016,2016,18.1,1934.2,4807,438.5,37.39,133.2,9.18,5.075,1609,24.26,1420,95.1,802,0,0,20.6,2353,68.5,2157,0.485,240.1,45.16,0.668,0.038,0.015,0.02,0.109,0.134,0.044,0.068,0.056,12.34,,
3/6/2016,2016,3.3,2984.1,7514.2,726,49.53,245.2,14.84,5.075,1700,27.65,1317,92.7,937,0,0,20.14,216,61.16,1317,0.731,178.6,54.21,0.814,0.076,0.042,0.068,0.195,0.185,0.048,0.053,0.065,12.34,,
3/7/2016,2016,8,2624.9,6712.6,630.8,47.92,204.5,12.99,7.79,1736,24.87,1121,95.3,1948,0,0,19.91,1756,67.39,1015,1.294,300.3,41.95,1.114,0.048,0.022,0.007,0.008,0.053,0.146,0.584,0.426,12.34,,
3/8/2016,2016,4.7,822.45,2174.7,186.1,31.33,51.73,7.44,8.27,2157,21.71,0,97.4,900,0,1,20.13,2215,64.17,2359,1.944,327,43.7,1.181,0.28,0.039,0.017,0.014,0.031,0.071,0.436,1.057,12.34,,
3/9/2016,2016,0.2,3136.3,7459.2,750,52.52,241.1,15.55,9.07,1430,23.85,1322,77.3,329,0,4,19.59,331,56.15,1251,1.365,285.4,67.47,1.038,0.165,0.064,0.049,0.085,0.194,0.141,0.255,0.412,12.34,,
3/10/2016,2016,3,3800.6,9194.9,914,65.51,299.7,19.02,7.15,1757,24.45,1346,91,1729,0,0,18.19,1909,49.78,518,1.193,214.9,58.84,0.933,0.117,0.064,0.101,0.186,0.188,0.104,0.155,0.279,12.33,,
3/11/2016,2016,2.4,3402.5,8297.5,810,56.99,261.3,16.88,6.034,1104,24.17,1544,89.4,1941,0,2,19,414,62.02,1458,1.038,174.1,59.79,0.802,0.074,0.052,0.16,0.243,0.146,0.075,0.131,0.159,12.34,,
3/12/2016,2016,4.6,1781.6,4357.4,407.9,37.17,142.4,9.78,5.395,929,23.54,1338,95.3,1830,0,2,19.62,302,73.6,1321,0.932,164.6,65.8,0.746,0.058,0.092,0.187,0.22,0.153,0.087,0.071,0.064,12.35,,
3/13/2016,2016,10.2,1864.5,4630.8,429.3,35.41,139,9.25,5.714,1312,23.43,1119,94,207,0,5,20.29,113,79.7,1122,1.162,20.56,72.9,0.877,0.204,0.228,0.188,0.072,0.059,0.077,0.157,0.176,12.34,,
3/14/2016,2016,5,1791.2,4358.8,415,37.61,131.4,9.18,4.596,1259,23.41,1128,93.9,652,0,0,20.71,623,82.5,1133,1.033,93.3,60.01,0.817,0.122,0.26,0.331,0.13,0.047,0.034,0.042,0.066,12.35,,
3/15/2016,2016,2.4,3915.6,9694.7,957,64.1,276.8,16.4,5.235,125,26.11,1405,93.8,247,0,0,19.83,335,63.03,1546,0.953,60.41,49.53,0.838,0.167,0.188,0.224,0.111,0.036,0.024,0.061,0.141,12.33,,
3/16/2016,2016,0.6,3046.9,7466.5,742,53.52,252.3,15.23,4.116,1355,26.77,1419,92.1,506,0,0,21.05,541,62.25,1537,0.507,112.5,40.29,0.645,0.079,0.05,0.078,0.099,0.032,0.026,0.054,0.088,12.33,,
3/17/2016,2016,0,4396.3,10620,1045,70.7,325,19.52,4.436,1124,25.76,1221,86.5,103,0,6,20.45,2358,60.06,1221,1.017,126.7,37.06,0.759,0.08,0.037,0.225,0.29,0.035,0.02,0.11,0.22,12.33,,
3/18/2016,2016,0,5268.7,12797,1250,89.5,383.5,23.61,5.235,1332,27.01,1513,84.2,259,0,24,19.84,633,47.8,1513,0.769,323.4,44.76,0.794,0.138,0.063,0.058,0.079,0.047,0.052,0.144,0.187,12.34,,
3/19/2016,2016,0,4551.6,11271,1072,73.4,328.7,19.14,5.714,1051,26.68,1625,84.7,2030,0,0,20.37,539,49.68,1122,0.787,322.9,45.36,0.917,0.191,0.08,0.028,0.023,0.038,0.064,0.154,0.209,12.32,,
3/20/2016,2016,0.2,5994.1,11575,1086,77.5,355.3,22.08,5.075,1515,28.67,1438,90.3,2137,0,1,20.5,132,53.91,1430,0.833,310.3,54.65,0.802,0.109,0.044,0.026,0.032,0.047,0.094,0.256,0.225,12.34,,
3/21/2016,2016,0.5,6303.1,11666,1149,81,355.8,22.76,7.31,1639,28.55,1547,93.4,719,0,0,21.17,605,51.38,1550,0.952,280.7,62.92,0.896,0.065,0.04,0.049,0.09,0.153,0.147,0.249,0.159,12.33,,
3/22/2016,2016,0.6,3789,9461.8,897,63.49,300.5,18.35,4.436,1526,27.36,1227,92.4,645,0,0,21.02,629,57.91,1220,0.653,288.9,49.79,0.725,0.1,0.053,0.045,0.044,0.061,0.087,0.145,0.118,12.34,,
3/23/2016,2016,3.4,1086.8,7219.4,673.7,51.07,195.3,12.69,6.673,1116,25.72,1634,92.4,2206,0,0,20.95,2130,67.19,1634,1.064,13.7,66.14,0.973,0.21,0.209,0.136,0.066,0.059,0.083,0.129,0.171,12.34,,
3/24/2016,2016,0.9,1883.8,7910.9,756,58.29,235.8,14.88,5.395,1211,25.49,1517,91.1,2214,0,0,20.51,50,64.71,1054,1.084,334.9,71.4,0.803,0.172,0.161,0.119,0.077,0.089,0.123,0.154,0.189,12.33,,
3/25/2016,2016,0.7,4272.5,9450.2,911,67.91,304.4,19.24,8.27,1232,25.8,1211,91.5,134,0,1,20.44,323,61.86,1212,1.466,37.2,73.1,1.131,0.306,0.309,0.216,0.094,0.084,0.106,0.14,0.211,12.35,,
3/26/2016,2016,0.3,4365.7,8118.6,797,61.16,245.2,16.17,8.27,1151,26.33,1533,84.9,720,0,24,21.34,2341,60.16,1533,1.495,38.81,73.3,1.066,0.313,0.322,0.238,0.093,0.066,0.073,0.154,0.236,12.35,,
3/27/2016,2016,3.7,4299.2,7992.5,769,60.21,276.8,17.68,7.63,930,25.85,1434,94.1,658,0,1,20.48,616,63.58,1536,1.098,43.06,72,0.97,0.196,0.243,0.174,0.081,0.067,0.078,0.103,0.155,12.34,,
3/28/2016,2016,0,7616,14015,1380,98.5,395.1,24.33,6.833,1132,27.04,1315,84.6,153,0,3,20.02,339,48.21,1444,1.219,40.87,58.98,0.966,0.265,0.199,0.161,0.097,0.1,0.095,0.109,0.194,12.36,,
