TIMESTAMP,RECORD,Rain_mm_Tot,PanLevel,AirTC_Avg,RH,T107_C_Avg,PTemp_C,AirTC_Max,AirTC_TMx,RH_Max,RH_TMx,T107_C_Max,T107_C_TMx,WS_ms_Max,WS_ms_TMx,AirTC_Min,AirTC_TMn,RH_Min,RH_TMn,T107_C_Min,T107_C_TMn,WS_ms_Min,WS_ms_TMn,SlrkW_2_Avg,SlrMJ_2_Tot,PAR_Den_Avg,PAR_Tot_Tot,BP_mmHg,AirTC_Std,T107_C_Std,SlrkW_2_Std,PAR_Den_Std,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Std,WindDir_Hst(1),WindDir_Hst(2),WindDir_Hst(3),WindDir_Hst(4),WindDir_Hst(5),WindDir_Hst(6),WindDir_Hst(7),WindDir_Hst(8),BattV,Comentario
TS,RN,mm,inches,Deg C,%,Deg C,Deg C,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,kW/m^2,MJ/m^2,umol/s/m^2,mmol/m^2,mmHg,Deg C,Deg C,kW/m^2,umol/s/m^2,meters/second,Deg,Deg,meters/second,degrees,degrees,degrees,degrees,degrees,degrees,degrees,degrees,Volts,
,,Tot,Smp,Avg,Smp,Avg,Smp,Max,TMx,Max,TMx,Max,TMx,Max,TMx,Min,TMn,Min,TMn,Min,TMn,Min,TMn,Avg,Tot,Avg,Tot,Smp,Std,Std,Std,Std,WVc,WVc,WVc,Std,"Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02",Smp,
1/28/2014 0:00,20,10.5,9.77,23.09,99,25.68,21.84,28.84,1/28/2014 14:04,100,1/28/2014 0:00,29.75,1/28/2014 15:11,3.795,1/28/2014 11:30,20.82,1/28/2014 5:01,63.52,1/28/2014 14:29,23.11,1/28/2014 7:44,0,1/28/2014 0:00,73.36,0.629697,291.8,25206.45,765.9,2.112,2.07,139.9,543,0.389,157.3,53.84,0.445,0.031,0.037,0.046,0.133,0.066,0.032,0.023,0.021,12.39,
1/29/2014 0:00,21,0,9.74,23.12,99.2,25.96,20.64,28.91,1/29/2014 13:57,100,1/29/2014 1:52,30.18,1/29/2014 15:10,3.316,1/29/2014 13:23,19.5,1/29/2014 6:24,63.21,1/29/2014 12:57,22.97,1/29/2014 8:24,0,1/29/2014 0:00,80.3,0.6891896,316.6,27349.66,765.5,2.874,2.213,149.2,573.9,0.417,160.3,51.26,0.467,0.029,0.036,0.053,0.149,0.064,0.035,0.027,0.024,12.39,
1/30/2014 0:00,22,11.4,9.75,22.27,100,25.1,21.26,26.48,1/30/2014 13:30,100,1/30/2014 0:33,27.54,1/30/2014 15:37,2.677,1/30/2014 10:45,20.26,1/30/2014 0:09,75.19,1/30/2014 10:00,23.23,1/30/2014 7:41,0,1/30/2014 0:00,55.69,0.4780269,224.9,19425.56,765.2,1.733,1.273,109.5,430,0.422,168.4,49.56,0.394,0.016,0.026,0.041,0.161,0.096,0.041,0.018,0.023,12.39,
1/31/2014 0:00,23,12.5,9.75,22.52,100,24.33,20.58,26.66,1/31/2014 14:02,100,1/31/2014 0:00,26.52,1/31/2014 15:15,5.952,1/31/2014 9:56,20.24,1/31/2014 6:03,73.45,1/31/2014 14:28,22.6,1/31/2014 7:46,0,1/31/2014 0:00,47.96,0.4116476,193.4,16707.76,764.8,1.999,1.212,96.9,378.4,0.546,177.1,60.18,0.538,0.024,0.033,0.053,0.15,0.128,0.077,0.042,0.039,12.39,
2/1/2014 0:00,24,16.5,9.75,22.68,100,24.75,21.31,26.96,2/1/2014 15:16,100,2/1/2014 0:00,28.05,2/1/2014 15:16,3.076,2/1/2014 11:27,20.56,2/1/2014 6:07,81.6,2/1/2014 14:43,22.39,2/1/2014 8:01,0,2/1/2014 0:02,59.82,0.5134857,243.9,21065.82,764.6,1.781,1.862,111.6,443.7,0.392,162,57.67,0.416,0.029,0.029,0.043,0.122,0.074,0.035,0.021,0.039,12.39,
2/2/2014 0:00,25,0.7,9.75,23.08,100,25.2,21.86,27.77,2/2/2014 13:08,100,2/2/2014 0:00,27.68,2/2/2014 14:46,3.715,2/2/2014 14:40,20.35,2/2/2014 5:13,74.46,2/2/2014 13:09,22.95,2/2/2014 7:41,0,2/2/2014 0:00,55.02,0.4722911,224.9,19431.07,763.8,2.173,1.503,104.6,417.2,0.367,175.2,61.46,0.451,0.034,0.025,0.029,0.097,0.058,0.038,0.033,0.054,12.39,
2/3/2014 0:00,26,4,9.75,22.86,100,25.47,20.88,27.9,2/3/2014 10:56,100,2/3/2014 0:00,28.71,2/3/2014 15:20,2.757,2/3/2014 14:05,20.66,2/3/2014 6:40,75.23,2/3/2014 10:58,23.31,2/3/2014 8:13,0,2/3/2014 0:00,61.65,0.5291573,250.2,21615.63,764.1,1.992,1.649,120.4,473.9,0.32,173.9,47.91,0.402,0.017,0.017,0.031,0.114,0.064,0.03,0.021,0.025,12.39,
2/4/2014 0:00,27,1.9,9.74,23.04,100,25.44,21.07,28.17,2/4/2014 12:12,100,2/4/2014 0:00,28.59,2/4/2014 14:50,3.635,2/4/2014 11:48,20.43,2/4/2014 5:14,65.75,2/4/2014 12:16,23.12,2/4/2014 8:13,0,2/4/2014 0:03,65,0.5579516,260.8,22526.49,764.4,2.225,1.707,127.2,496.6,0.476,177.7,61.85,0.453,0.027,0.029,0.042,0.13,0.104,0.056,0.037,0.051,12.39,
2/5/2014 0:00,28,15,9.77,22.31,100,24.78,21.37,27,2/5/2014 13:16,100,2/5/2014 0:00,27.23,2/5/2014 15:03,4.115,2/5/2014 13:26,19.52,2/5/2014 7:22,70.91,2/5/2014 13:04,22.59,2/5/2014 8:14,0,2/5/2014 0:00,54.01,0.4635853,220.5,19046.27,763.8,2.081,1.451,110.5,437.6,0.367,175.3,47.8,0.427,0.02,0.017,0.028,0.133,0.085,0.037,0.02,0.027,12.38,
2/6/2014 0:00,29,3.3,9.76,23.05,100,25,22.17,26.87,2/6/2014 13:35,100,2/6/2014 0:00,27.39,2/6/2014 15:22,3.076,2/6/2014 9:32,20.77,2/6/2014 7:25,78.18,2/6/2014 13:21,23.06,2/6/2014 8:01,0,2/6/2014 0:00,49.13,0.4217292,199.6,17238.51,764.8,1.636,1.379,95.9,381,0.326,167.7,52.05,0.419,0.023,0.021,0.025,0.114,0.057,0.031,0.024,0.031,12.4,
